asset_type,ticker,starting_capital,target_net_profit_percent,required_reference_price_rise_percent,final_total_wealth,final_profit_loss,return_percent,buy_and_hold_final_wealth,buy_and_hold_return_percent,buys,sales,open_lots,unrealized_pnl_on_open_lots,participation_percent_of_eligible_minutes,average_holding_minutes_closed,maximum_drawdown_percent,eligible_minutes,trading_sessions,first_close,final_close,underlying_price_change_percent,first_timestamp,final_timestamp,buy_and_hold_profit_loss,initial_capital,final_cash,open_lot_cost_basis,open_liquidation_value,skipped_buys,realized_profit_before_final_liquidation,max_open_lots,maximum_holding_minutes_closed,oldest_open_lot_age_minutes,closed_within_1_hour_percent,closed_within_1_day_percent,closed_within_7_days_percent,closed_within_30_days_percent,maximum_drawdown_timestamp
etf,DIA,300,1.0,1.222444666889122,332.09802315360247,32.09802315360247,10.699341051200829,343.7867015147053,14.595567171568447,5531,5180,351,-19.701976846392483,5.6806860781595026,27616.09131274131,8.577121768417863,97365,251,291.69,335.0,14.847955020741189,1664544600,1696017540,43.78670151470533,300.0,0.7999999999949345,351.0,331.2980231536075,91834,51.79999999999826,351,332191,104018,0.15444015444015444,16.1969111969112,63.996138996138995,92.43243243243244,1678899420
etf,DIA,300,2.0,2.2246470893335424,334.82440624860766,34.82440624860766,11.608135416202558,343.7867015147053,14.595567171568447,2976,2624,352,-17.655593751394008,3.0565398243722077,54589.06783536585,9.205269340208934,97365,251,291.69,335.0,14.847955020741189,1664544600,1696017540,43.78670151470533,300.0,0.4800000000016915,352.0,334.344406248606,94389,52.480000000002605,352,342395,105428,0.0,1.2576219512195121,48.551829268292686,86.85213414634147,1678899420
etf,DIA,300,3.0,3.226849511778007,337.6564995902006,37.65649959020061,12.552166530066877,343.7867015147053,14.595567171568447,2237,1881,356,-18.773500409799624,2.2975401838442973,68671.04093567251,9.135698600611851,97365,251,291.69,335.0,14.847955020741189,1664544600,1696017540,43.78670151470533,300.0,0.43000000000022,356.0,337.2264995902004,95128,56.43000000000138,356,359616,436260,0.0,0.0,33.43965975544923,78.89420520999468,1678899420
etf,DIA,300,4.0,4.22905193422245,342.5035565359904,42.50355653599041,14.167852178663477,343.7867015147053,14.595567171568447,1864,1504,360,-17.656443464009556,1.914445642684743,73384.59840425532,9.285269197888402,97365,251,291.69,335.0,14.847955020741189,1664544600,1696017540,43.78670151470533,300.0,0.15999999999996106,360.0,342.34355653599044,95501,60.159999999998895,360,362671,446708,0.0,0.0,30.0531914893617,81.44946808510639,1678899420
etf,DIA,300,5.0,5.2312543566669145,342.86945768094,42.86945768094,14.289819226980004,343.7867015147053,14.595567171568447,1528,1170,358,-15.630542319059998,1.5693524367072356,87765.7982905983,9.314121307121077,97365,251,291.69,335.0,14.847955020741189,1664544600,1696017540,43.78670151470533,300.0,0.49999999999998757,358.0,342.36945768094,95837,58.49999999999881,358,374325,459507,0.0,0.0,2.2222222222222223,80.76923076923077,1678899420
etf,DIA,300,6.0,6.233456779111335,342.4802922696481,42.48029226964809,14.160097423216023,343.7867015147053,14.595567171568447,1312,955,357,-14.819707730351922,1.3475068042931237,107730.47015706806,9.226631847979105,97365,251,291.69,335.0,14.847955020741189,1664544600,1696017540,43.78670151470533,300.0,0.30000000000000027,357.0,342.1802922696481,96053,57.30000000000066,357,378558,436302,0.0,0.0,2.303664921465969,65.6544502617801,1678899420
etf,DIA,300,7.000000000000001,7.2356592015558,342.2279037285502,42.22790372855019,14.075967909516729,343.7867015147053,14.595567171568447,967,624,343,-1.4520962714474877,0.9931700302983618,30894.546474358973,9.308323300314752,97365,251,291.69,335.0,14.847955020741189,1664544600,1696017540,43.78670151470533,300.0,0.6799999999977036,343.0,341.5479037285525,96398,43.680000000000156,343,380126,468207,0.0,0.0,0.0,99.51923076923077,1678899420
etf,DIA,300,8.0,8.237861624000242,343.58585410173544,43.585854101735436,14.528618033911812,343.7867015147053,14.595567171568447,973,624,349,-6.334145898264524,0.9993324089765316,36083.67628205128,9.296598926795316,97365,251,291.69,335.0,14.847955020741189,1664544600,1696017540,43.78670151470533,300.0,0.9199999999999484,349.0,342.6658541017355,96392,49.91999999999929,349,44693,465066,0.0,0.0,0.0,90.7051282051282,1678899420
etf,DIA,300,9.0,9.240064046444685,345.43552742582307,45.43552742582307,15.14517580860768,343.7867015147053,14.595567171568447,983,627,356,-10.994472574177564,1.0096030401068146,87000.8389154705,8.852915808784221,97365,251,291.69,335.0,14.847955020741189,1664544600,1696017540,43.78670151470533,300.0,0.43000000000061434,356.0,345.00552742582244,96382,56.43000000000088,356,382982,436285,0.0,0.0,0.0,47.84688995215311,1678899420
etf,DIA,300,10.0,10.242266468889127,343.15228322755274,43.15228322755274,14.384094409184245,343.7867015147053,14.595567171568447,988,626,362,-19.44771677244728,1.014738355671956,219958.65495207667,9.32066781807713,97365,251,291.69,335.0,14.847955020741189,1664544600,1696017540,43.78670151470533,300.0,0.6000000000000263,362.0,342.5522832275527,96377,62.60000000000062,362,400303,485608,0.0,0.0,0.0,47.92332268370607,1678899420
